namevariant,preflabel,coords,wikidata,atlasofmutualheritage
"fort Amersfoort","Amersfoort, fort","Point(-3.55 128.3)",http://www.wikidata.org/entity/Q104533993,https://www.atlasofmutualheritage.nl/en/Amersfoort-fort.1c
"fort Amsterdam","Amsterdam, fort (Hila)","Point(-3.58267 128.083)",http://www.wikidata.org/entity/Q2651405,https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c
"fort Hila","Amsterdam, fort (Hila)","Point(-3.58267 128.083)",http://www.wikidata.org/entity/Q2651405,https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c
"Kasteel van Verre","Amsterdam, fort (Hila)","Point(-3.58267 128.083)",http://www.wikidata.org/entity/Q2651405,https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c
"fort Beeverwijk","Beeverwijk, fort","Point(-3.6463 128.765)",http://www.wikidata.org/entity/Q104534005,https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c
"fort Beverwijk","Beeverwijk, fort","Point(-3.6463 128.765)",http://www.wikidata.org/entity/Q104534005,https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c
"fort Beverwijck","Beeverwijk, fort","Point(-3.6463 128.765)",http://www.wikidata.org/entity/Q104534005,https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c
"fort Duurstede","Duurstede, fort","Point(-3.57549 128.659)",http://www.wikidata.org/entity/Q2433724,https://www.atlasofmutualheritage.nl/en/Duurstede-fort.4c
"fort Rotterdam","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Larike","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Lariké","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Laricque","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Larique","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Larricque","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Laryecque","Rotterdam, fort (Larike)","Point(-3.74948 127.932)",http://www.wikidata.org/entity/Q104534006,https://www.atlasofmutualheritage.nl/en/Rotterdam-fort-(Larike).5c
"fort Wantrouw","Wantrouw, fort (Manipa)","Point(-3.33834 127.556)",http://www.wikidata.org/entity/Q104534007,https://www.atlasofmutualheritage.nl/en/Wantrouw-fort-(Manipa).6c
"fort Waantrouw","Wantrouw, fort (Manipa)","Point(-3.33834 127.556)",http://www.wikidata.org/entity/Q104534007,https://www.atlasofmutualheritage.nl/en/Wantrouw-fort-(Manipa).6c
"Barricade Wantrouw","Wantrouw, fort (Manipa)","Point(-3.33834 127.556)",http://www.wikidata.org/entity/Q104534007,https://www.atlasofmutualheritage.nl/en/Wantrouw-fort-(Manipa).6c
"fort Zeelandia","Zeelandia, fort (Haruku)","Point(-3.60277 128.417)",http://www.wikidata.org/entity/Q104534008,https://www.atlasofmutualheritage.nl/en/Zeelandia-fort-(Haruku).7c
"Fort Nieuw Zeelandia","Zeelandia, fort (Haruku)","Point(-3.60277 128.417)",http://www.wikidata.org/entity/Q104534008,https://www.atlasofmutualheritage.nl/en/Zeelandia-fort-(Haruku).7c
"Fort Haroeko","Zeelandia, fort (Haruku)","Point(-3.60277 128.417)",http://www.wikidata.org/entity/Q104534008,https://www.atlasofmutualheritage.nl/en/Zeelandia-fort-(Haruku).7c
"fort Middelburg","Middelburg, fort (Ambon)","Point(-3.63103 128.254)",http://www.wikidata.org/entity/Q104534009,https://www.atlasofmutualheritage.nl/en/Middelburg-fort-(Ambon).8c
"fort Paso","Middelburg, fort (Ambon)","Point(-3.63103 128.254)",http://www.wikidata.org/entity/Q104534009,https://www.atlasofmutualheritage.nl/en/Middelburg-fort-(Ambon).8c
"fort Passo","Middelburg, fort (Ambon)","Point(-3.63103 128.254)",http://www.wikidata.org/entity/Q104534009,https://www.atlasofmutualheritage.nl/en/Middelburg-fort-(Ambon).8c
Baguala,"Middelburg, fort (Ambon)","Point(-3.63103 128.254)",http://www.wikidata.org/entity/Q104534009,https://www.atlasofmutualheritage.nl/en/Middelburg-fort-(Ambon).8c
"fort Overburg","Overburg, fort","Point(-3.38981 127.982)",http://www.wikidata.org/entity/Q104534010,https://www.atlasofmutualheritage.nl/en/Overburg-fort.9c
"fort Overbrug","Overburg, fort","Point(-3.38981 127.982)",http://www.wikidata.org/entity/Q104534010,https://www.atlasofmutualheritage.nl/en/Overburg-fort.9c
"fort De Bullebak","Overburg, fort","Point(-3.38981 127.982)",http://www.wikidata.org/entity/Q104534010,https://www.atlasofmutualheritage.nl/en/Overburg-fort.9c
"fort Den Bosch","Den Bosch, fort","Point(-3.21648 128.176)",http://www.wikidata.org/entity/Q104534011,https://www.atlasofmutualheritage.nl/en/Den-Bosch-fort.10c
"fort Boschot","Den Bosch, fort","Point(-3.21648 128.176)",http://www.wikidata.org/entity/Q104534011,https://www.atlasofmutualheritage.nl/en/Den-Bosch-fort.10c
"fort Defensie","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Defentia","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Defentie","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Deffensie","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Deventie","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Defenti","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Cosburg","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Oostburg","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Mandarsjah","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Kayeli","Defensie, fort","Point(-3.38499 127.114)",http://www.wikidata.org/entity/Q104534012,https://www.atlasofmutualheritage.nl/en/Defensie-fort.11c
"fort Ontmoeting","Ontmoeting, fort","Point(-7.12931 110.405)",http://www.wikidata.org/entity/Q104534013,https://www.atlasofmutualheritage.nl/en/Ontmoeting-fort.12c
"Fort Oengaran","Ontmoeting, fort","Point(-7.12931 110.405)",http://www.wikidata.org/entity/Q104534013,https://www.atlasofmutualheritage.nl/en/Ontmoeting-fort.12c
"Fort Ungaran","Ontmoeting, fort","Point(-7.12931 110.405)",http://www.wikidata.org/entity/Q104534013,https://www.atlasofmutualheritage.nl/en/Ontmoeting-fort.12c
"Fort Willem II","Ontmoeting, fort","Point(-7.12931 110.405)",http://www.wikidata.org/entity/Q104534013,https://www.atlasofmutualheritage.nl/en/Ontmoeting-fort.12c
"fort Belgica","Belgica, fort (Banda)","Point(-4.52607 129.899)",http://www.wikidata.org/entity/Q4982061,https://www.atlasofmutualheritage.nl/en/Belgica-fort-(Banda).13c
"fort Bellegika","Belgica, fort (Banda)","Point(-4.52607 129.899)",http://www.wikidata.org/entity/Q4982061,https://www.atlasofmutualheritage.nl/en/Belgica-fort-(Banda).13c
"redoute Neira","Belgica, fort (Banda)","Point(-4.52607 129.899)",http://www.wikidata.org/entity/Q4982061,https://www.atlasofmutualheritage.nl/en/Belgica-fort-(Banda).13c
"fort Nassau","Nassau, fort (Banda)","Point(-4.52822 129.898)",http://www.wikidata.org/entity/Q16773101,https://www.atlasofmutualheritage.nl/en/Nassau-fort-(Banda).14c
"Neira fort Nassouw","Nassau, fort (Banda)","Point(-4.52822 129.898)",http://www.wikidata.org/entity/Q16773101,https://www.atlasofmutualheritage.nl/en/Nassau-fort-(Banda).14c
"Neira fort Nassauw","Nassau, fort (Banda)","Point(-4.52822 129.898)",http://www.wikidata.org/entity/Q16773101,https://www.atlasofmutualheritage.nl/en/Nassau-fort-(Banda).14c
"Neira fort Nassou","Nassau, fort (Banda)","Point(-4.52822 129.898)",http://www.wikidata.org/entity/Q16773101,https://www.atlasofmutualheritage.nl/en/Nassau-fort-(Banda).14c
"kasteel de Goede Hoop","Goede Hoop, kasteel de (Kaapstad)","Point(-33.9257 18.4277)",http://www.wikidata.org/entity/Q1049562,https://www.atlasofmutualheritage.nl/en/Good-hope-castle-(Cape-Town).15c
"kasteel Kaap de Goede Hoop","Goede Hoop, kasteel de (Kaapstad)","Point(-33.9257 18.4277)",http://www.wikidata.org/entity/Q1049562,https://www.atlasofmutualheritage.nl/en/Good-hope-castle-(Cape-Town).15c
"kasteel Batavia","Batavia, kasteel","Point(-6.12767 106.811)",http://www.wikidata.org/entity/Q2586938,https://www.atlasofmutualheritage.nl/en/Batavia-kasteel.16c
"fort Vredenburg","Vredenburg, fort (Yogyakarta)","Point(-7.80028 110.366)",http://www.wikidata.org/entity/Q2551916,https://www.atlasofmutualheritage.nl/en/Vredenburg-fort-(Yogyakarta).17c
"fort Vredeburg","Vredenburg, fort (Yogyakarta)","Point(-7.80028 110.366)",http://www.wikidata.org/entity/Q2551916,https://www.atlasofmutualheritage.nl/en/Vredenburg-fort-(Yogyakarta).17c
"Goji Lede","Vredenburg, fort (Yogyakarta)","Point(-7.80028 110.366)",http://www.wikidata.org/entity/Q2551916,https://www.atlasofmutualheritage.nl/en/Vredenburg-fort-(Yogyakarta).17c
"fort Rustenburg","Vredenburg, fort (Yogyakarta)","Point(-7.80028 110.366)",http://www.wikidata.org/entity/Q2551916,https://www.atlasofmutualheritage.nl/en/Vredenburg-fort-(Yogyakarta).17c
"fort Speelwijk","Speelwijk, fort","Point(-6.03097 106.151)",http://www.wikidata.org/entity/Q104534014,https://www.atlasofmutualheritage.nl/en/Speelwijk-fort.18c
"fort Spelwijck","Speelwijk, fort","Point(-6.03097 106.151)",http://www.wikidata.org/entity/Q104534014,https://www.atlasofmutualheritage.nl/en/Speelwijk-fort.18c
"fort Speelwijck","Speelwijk, fort","Point(-6.03097 106.151)",http://www.wikidata.org/entity/Q104534014,https://www.atlasofmutualheritage.nl/en/Speelwijk-fort.18c
"fort Revenge","Revenge, fort","Point(-4.51896 129.774)",http://www.wikidata.org/entity/Q104534015,https://www.atlasofmutualheritage.nl/en/Revenge-fort.19c
"fort Revengie","Revenge, fort","Point(-4.51896 129.774)",http://www.wikidata.org/entity/Q104534015,https://www.atlasofmutualheritage.nl/en/Revenge-fort.19c
"fort Ay","Revenge, fort","Point(-4.51896 129.774)",http://www.wikidata.org/entity/Q104534015,https://www.atlasofmutualheritage.nl/en/Revenge-fort.19c
"fort Victoria","Victoria, fort (Ambon)","Point(-3.69155 128.182)",http://www.wikidata.org/entity/Q2488326,https://www.atlasofmutualheritage.nl/en/Victoria-fort-(Ambon).20c
"fort Nieuw Victoria","Victoria, fort (Ambon)","Point(-3.69155 128.182)",http://www.wikidata.org/entity/Q2488326,https://www.atlasofmutualheritage.nl/en/Victoria-fort-(Ambon).20c
"Forte de Nossa Senhora da Anunciada","Victoria, fort (Ambon)","Point(-3.69155 128.182)",http://www.wikidata.org/entity/Q2488326,https://www.atlasofmutualheritage.nl/en/Victoria-fort-(Ambon).20c
"Kota Laha","Victoria, fort (Ambon)","Point(-3.69155 128.182)",http://www.wikidata.org/entity/Q2488326,https://www.atlasofmutualheritage.nl/en/Victoria-fort-(Ambon).20c
"fort Oostenburgh","Oostenburgh, fort","Point(8.54028 81.2336)",http://www.wikidata.org/entity/Q104534017,https://www.atlasofmutualheritage.nl/en/Oostenburgh-fort.21c
"fort Oostenburg","Oostenburgh, fort","Point(8.54028 81.2336)",http://www.wikidata.org/entity/Q104534017,https://www.atlasofmutualheritage.nl/en/Oostenburgh-fort.21c
"fort Frederick","Frederick, fort","Point(8.56667 81.2167)",http://www.wikidata.org/entity/Q3070381,https://www.atlasofmutualheritage.nl/en/Frederick-fort.22c
"fort Frederik","Frederick, fort","Point(8.56667 81.2167)",http://www.wikidata.org/entity/Q3070381,https://www.atlasofmutualheritage.nl/en/Frederick-fort.22c
Trinquenemale,"Frederick, fort","Point(8.56667 81.2167)",http://www.wikidata.org/entity/Q3070381,https://www.atlasofmutualheritage.nl/en/Frederick-fort.22c
"fort Delfft","Delfft, fort (Poorto)","Point(-3.56222 128.597)",http://www.wikidata.org/entity/Q104534018,https://www.atlasofmutualheritage.nl/en/Delfft-fort-(Poorto).24c
"fort Poorto Delft","Delfft, fort (Poorto)","Point(-3.56222 128.597)",http://www.wikidata.org/entity/Q104534018,https://www.atlasofmutualheritage.nl/en/Delfft-fort-(Poorto).24c
"fort Vrydenburg","Vrydenburg, fort",,,
"fort Haarlem","Haarlem, fort (Ambon)","Point(-3.64147 127.969)",http://www.wikidata.org/entity/Q104534019,https://www.atlasofmutualheritage.nl/en/Haarlem-fort-(Ambon).26c
"fort Haerlem","Haarlem, fort (Ambon)","Point(-3.64147 127.969)",http://www.wikidata.org/entity/Q104534019,https://www.atlasofmutualheritage.nl/en/Haarlem-fort-(Ambon).26c
"blokhuis Haarlem","Haarlem, fort (Ambon)","Point(-3.64147 127.969)",http://www.wikidata.org/entity/Q104534019,https://www.atlasofmutualheritage.nl/en/Haarlem-fort-(Ambon).26c
"fort Lima","Haarlem, fort (Ambon)","Point(-3.64147 127.969)",http://www.wikidata.org/entity/Q104534019,https://www.atlasofmutualheritage.nl/en/Haarlem-fort-(Ambon).26c
"blokhuis Van der Capellen","Haarlem, fort (Ambon)","Point(-3.64147 127.969)",http://www.wikidata.org/entity/Q104534019,https://www.atlasofmutualheritage.nl/en/Haarlem-fort-(Ambon).26c
"fort Hoorn","Hoorn, fort (Haruku)","Point(-3.51715 128.473)",http://www.wikidata.org/entity/Q104534020,https://www.atlasofmutualheritage.nl/en/Hoorn-fort-(Haruku).27c
"fort Pelau","Hoorn, fort (Haruku)","Point(-3.51715 128.473)",http://www.wikidata.org/entity/Q104534020,https://www.atlasofmutualheritage.nl/en/Hoorn-fort-(Haruku).27c
"fort Pelauw","Hoorn, fort (Haruku)","Point(-3.51715 128.473)",http://www.wikidata.org/entity/Q104534020,https://www.atlasofmutualheritage.nl/en/Hoorn-fort-(Haruku).27c
"fort Lyden","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"fort Leijden","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"fort Leyden","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"fort Leiden","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"Fort Hitoelama","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"fort Hitu Lama","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"fort Enkhuizen","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"fort Enkhuijzen","Lyden, fort (Ambon)","Point(-3.5835 128.178)",http://www.wikidata.org/entity/Q104534021,https://www.atlasofmutualheritage.nl/en/Lyden-fort-(Ambon).28c
"fort Nootwijk","Nootwijk, fort (Ambon)","Point(-3.69703 128.186)",http://www.wikidata.org/entity/Q104534022,https://www.atlasofmutualheritage.nl/en/Nootwijk-fort-(Ambon).29c
"fort Noortwijk","Nootwijk, fort (Ambon)","Point(-3.69703 128.186)",http://www.wikidata.org/entity/Q104534022,https://www.atlasofmutualheritage.nl/en/Nootwijk-fort-(Ambon).29c
"fort Noordwijk","Nootwijk, fort (Ambon)","Point(-3.69703 128.186)",http://www.wikidata.org/entity/Q104534022,https://www.atlasofmutualheritage.nl/en/Nootwijk-fort-(Ambon).29c
"fort Ceith","Ceith, fort (Ambon)","Point(-3.59173 128.029)",http://www.wikidata.org/entity/Q104534023,https://www.atlasofmutualheritage.nl/en/Ceith-fort-(Ambon).30c
"fort Ceijt","Ceith, fort (Ambon)","Point(-3.59173 128.029)",http://www.wikidata.org/entity/Q104534023,https://www.atlasofmutualheritage.nl/en/Ceith-fort-(Ambon).30c
"fort Seith","Ceith, fort (Ambon)","Point(-3.59173 128.029)",http://www.wikidata.org/entity/Q104534023,https://www.atlasofmutualheritage.nl/en/Ceith-fort-(Ambon).30c
"fort Seit","Ceith, fort (Ambon)","Point(-3.59173 128.029)",http://www.wikidata.org/entity/Q104534023,https://www.atlasofmutualheritage.nl/en/Ceith-fort-(Ambon).30c
"fort Sonder Naam","Ceith, fort (Ambon)","Point(-3.59173 128.029)",http://www.wikidata.org/entity/Q104534023,https://www.atlasofmutualheritage.nl/en/Ceith-fort-(Ambon).30c
"fort Sondernaam","Ceith, fort (Ambon)","Point(-3.59173 128.029)",http://www.wikidata.org/entity/Q104534023,https://www.atlasofmutualheritage.nl/en/Ceith-fort-(Ambon).30c
"fort Lebelehoe","Ceith, fort (Ambon)","Point(-3.59173 128.029)",http://www.wikidata.org/entity/Q104534023,https://www.atlasofmutualheritage.nl/en/Ceith-fort-(Ambon).30c
"fort Velsen","Velsen, fort","Point(-3.49844 128.692)",http://www.wikidata.org/entity/Q104534024,https://www.atlasofmutualheritage.nl/en/Velsen-fort.31c
Velzen,"Velsen, fort","Point(-3.49844 128.692)",http://www.wikidata.org/entity/Q104534024,https://www.atlasofmutualheritage.nl/en/Velsen-fort.31c
"fort Vlissingen","Vlissingen, fort (Nussatello)","Point(-3.64891 127.911)",http://www.wikidata.org/entity/Q104534025,https://www.atlasofmutualheritage.nl/en/Vlissingen-fort-(Nussatello).32c
"fort Ureng","Vlissingen, fort (Nussatello)","Point(-3.64891 127.911)",http://www.wikidata.org/entity/Q104534025,https://www.atlasofmutualheritage.nl/en/Vlissingen-fort-(Nussatello).32c
"fort Hatua","Vlissingen, fort (Nussatello)","Point(-3.64891 127.911)",http://www.wikidata.org/entity/Q104534025,https://www.atlasofmutualheritage.nl/en/Vlissingen-fort-(Nussatello).32c
"redoute Flissingen","Vlissingen, fort (Nussatello)","Point(-3.64891 127.911)",http://www.wikidata.org/entity/Q104534025,https://www.atlasofmutualheritage.nl/en/Vlissingen-fort-(Nussatello).32c
"fort Kuijlenburg","Kuijlenburg, fort","Point(-4.52162 129.942)",http://www.wikidata.org/entity/Q104534026,https://www.atlasofmutualheritage.nl/en/Kuijlenburg-fort.33c
"fort Cuijlenburg","Kuijlenburg, fort","Point(-4.52162 129.942)",http://www.wikidata.org/entity/Q104534026,https://www.atlasofmutualheritage.nl/en/Kuijlenburg-fort.33c
"fort Cuijlenburgh","Kuijlenburg, fort","Point(-4.52162 129.942)",http://www.wikidata.org/entity/Q104534026,https://www.atlasofmutualheritage.nl/en/Kuijlenburg-fort.33c
"fort Kuylenburg","Kuijlenburg, fort","Point(-4.52162 129.942)",http://www.wikidata.org/entity/Q104534026,https://www.atlasofmutualheritage.nl/en/Kuijlenburg-fort.33c
"fort Kuilenburg","Kuijlenburg, fort","Point(-4.52162 129.942)",http://www.wikidata.org/entity/Q104534026,https://www.atlasofmutualheritage.nl/en/Kuijlenburg-fort.33c
"fort Culemborg","Kuijlenburg, fort","Point(-4.52162 129.942)",http://www.wikidata.org/entity/Q104534026,https://www.atlasofmutualheritage.nl/en/Kuijlenburg-fort.33c
"fort Salomon","Kuijlenburg, fort","Point(-4.52162 129.942)",http://www.wikidata.org/entity/Q104534026,https://www.atlasofmutualheritage.nl/en/Kuijlenburg-fort.33c
"fort Hollandia","Hollandia, fort (Banda)","Point(-4.54739 129.881)",http://www.wikidata.org/entity/Q104534027,https://www.atlasofmutualheritage.nl/en/Hollandia-fort-(Banda).34c
"fort Lonthor","Hollandia, fort (Banda)","Point(-4.54739 129.881)",http://www.wikidata.org/entity/Q104534027,https://www.atlasofmutualheritage.nl/en/Hollandia-fort-(Banda).34c
"fort Lontoir","Hollandia, fort (Banda)","Point(-4.54739 129.881)",http://www.wikidata.org/entity/Q104534027,https://www.atlasofmutualheritage.nl/en/Hollandia-fort-(Banda).34c
"fort Dender","Dender, fort","Point(-4.5352 129.952)",http://www.wikidata.org/entity/Q104534028,https://www.atlasofmutualheritage.nl/en/Dender-fort.36c
"fort Dannex","Dender, fort","Point(-4.5352 129.952)",http://www.wikidata.org/entity/Q104534028,https://www.atlasofmutualheritage.nl/en/Dender-fort.36c
"fort Morgenstar","Dender, fort","Point(-4.5352 129.952)",http://www.wikidata.org/entity/Q104534028,https://www.atlasofmutualheritage.nl/en/Dender-fort.36c
"fort Morgenster","Dender, fort","Point(-4.5352 129.952)",http://www.wikidata.org/entity/Q104534028,https://www.atlasofmutualheritage.nl/en/Dender-fort.36c
"fort Voorzightigheid","Voorzightigheid, fort","Point(-4.52687 129.908)",http://www.wikidata.org/entity/Q104534029,https://www.atlasofmutualheritage.nl/en/Voorzightigheid-fort.37c
"fort Voorsigtigheyd","Voorzightigheid, fort","Point(-4.52687 129.908)",http://www.wikidata.org/entity/Q104534029,https://www.atlasofmutualheritage.nl/en/Voorzightigheid-fort.37c
"fort Voorsigtigheyt","Voorzightigheid, fort","Point(-4.52687 129.908)",http://www.wikidata.org/entity/Q104534029,https://www.atlasofmutualheritage.nl/en/Voorzightigheid-fort.37c
"fort Voorsigtigheijt","Voorzightigheid, fort","Point(-4.52687 129.908)",http://www.wikidata.org/entity/Q104534029,https://www.atlasofmutualheritage.nl/en/Voorzightigheid-fort.37c
"fort Voorzigtigheid","Voorzightigheid, fort","Point(-4.52687 129.908)",http://www.wikidata.org/entity/Q104534029,https://www.atlasofmutualheritage.nl/en/Voorzightigheid-fort.37c
"fort Voorsigtigheijd","Voorzightigheid, fort","Point(-4.52687 129.908)",http://www.wikidata.org/entity/Q104534029,https://www.atlasofmutualheritage.nl/en/Voorzightigheid-fort.37c
"fort Watervlied","Watervlied, fort",,,
"fort Wilhelmus","Wilhelmus, fort (Damar)","Point(-1.0082 128.364)",http://www.wikidata.org/entity/Q104534030,https://www.atlasofmutualheritage.nl/en/Wilhelmus-fort-(Damar).39c
"fort Zeezigt","Zeezigt, fort (Banda)",,,
"fort Delfshaven","Delfshaven, fort","Point(-8.07417 127.152)",http://www.wikidata.org/entity/Q104534031,https://www.atlasofmutualheritage.nl/en/Delfshaven-fort.41c
"fort Delftshaven","Delfshaven, fort","Point(-8.07417 127.152)",http://www.wikidata.org/entity/Q104534031,https://www.atlasofmutualheritage.nl/en/Delfshaven-fort.41c
"fort Delft","Delfshaven, fort","Point(-8.07417 127.152)",http://www.wikidata.org/entity/Q104534031,https://www.atlasofmutualheritage.nl/en/Delfshaven-fort.41c
"fort Vollenhoven","Delfshaven, fort","Point(-8.07417 127.152)",http://www.wikidata.org/entity/Q104534031,https://www.atlasofmutualheritage.nl/en/Delfshaven-fort.41c
"fort Surosowan","Surosowan, fort","Point(-6.03814 106.156)",,https://www.atlasofmutualheritage.nl/en/Surosowan-fort.42c
"fort Diamant","Surosowan, fort","Point(-6.03814 106.156)",,https://www.atlasofmutualheritage.nl/en/Surosowan-fort.42c
"fort Diamand","Surosowan, fort","Point(-6.03814 106.156)",,https://www.atlasofmutualheritage.nl/en/Surosowan-fort.42c
"Kota Intan","Surosowan, fort","Point(-6.03814 106.156)",,https://www.atlasofmutualheritage.nl/en/Surosowan-fort.42c
"Gedong Kedaton Pakuwuan","Surosowan, fort","Point(-6.03814 106.156)",,https://www.atlasofmutualheritage.nl/en/Surosowan-fort.42c
"fort Jonge Petrus Albertus","Jonge Petrus Albertus, fort",,,
"fort Hollandia","Hollandia, fort (Tolukko)","Point(0.813967 127.388)",http://www.wikidata.org/entity/Q1955002,https://www.atlasofmutualheritage.nl/en/Hollandia-fort-(Tolukko).44c
"fort Tolukko","Hollandia, fort (Tolukko)","Point(0.813967 127.388)",http://www.wikidata.org/entity/Q1955002,https://www.atlasofmutualheritage.nl/en/Hollandia-fort-(Tolukko).44c
"fort Terlucco","Hollandia, fort (Tolukko)","Point(0.813967 127.388)",http://www.wikidata.org/entity/Q1955002,https://www.atlasofmutualheritage.nl/en/Hollandia-fort-(Tolukko).44c
"fort (Lampon Toulang Bawang) Valkenburg","Valkenburg, fort (Lampon Toulang Bawang)",,,
"fort Jacatra","Jacatra, fort","Point(-6.14463 106.831)",http://www.wikidata.org/entity/Q104534033,https://www.atlasofmutualheritage.nl/en/Jacatra-fort.46c
"fort Jacketraa","Jacatra, fort","Point(-6.14463 106.831)",http://www.wikidata.org/entity/Q104534033,https://www.atlasofmutualheritage.nl/en/Jacatra-fort.46c
"fort Jakkatra","Jacatra, fort","Point(-6.14463 106.831)",http://www.wikidata.org/entity/Q104534033,https://www.atlasofmutualheritage.nl/en/Jacatra-fort.46c
"fort Jaccatra","Jacatra, fort","Point(-6.14463 106.831)",http://www.wikidata.org/entity/Q104534033,https://www.atlasofmutualheritage.nl/en/Jacatra-fort.46c
"fort Jacattra","Jacatra, fort","Point(-6.14463 106.831)",http://www.wikidata.org/entity/Q104534033,https://www.atlasofmutualheritage.nl/en/Jacatra-fort.46c
"fort Meester Cornelis",Jatinegara,"Point(-6.21607 106.863)",http://www.wikidata.org/entity/Q2489986,https://www.atlasofmutualheritage.nl/en/Meester-Cornelis-fort.47c
"fort Mr. Cornelis",Jatinegara,"Point(-6.21607 106.863)",http://www.wikidata.org/entity/Q2489986,https://www.atlasofmutualheritage.nl/en/Meester-Cornelis-fort.47c
Jatinegara,Jatinegara,"Point(-6.21607 106.863)",http://www.wikidata.org/entity/Q2489986,https://www.atlasofmutualheritage.nl/en/Meester-Cornelis-fort.47c
"fort Noordwijk","Noordwijk, fort","Point(-6.16789 106.831)",http://www.wikidata.org/entity/Q104534034,https://www.atlasofmutualheritage.nl/en/Noordwijk-fort.48c
"fort Noortwijck","Noordwijk, fort","Point(-6.16789 106.831)",http://www.wikidata.org/entity/Q104534034,https://www.atlasofmutualheritage.nl/en/Noordwijk-fort.48c
"fort Noordwijck","Noordwijk, fort","Point(-6.16789 106.831)",http://www.wikidata.org/entity/Q104534034,https://www.atlasofmutualheritage.nl/en/Noordwijk-fort.48c
"fort Quaal","Quaal, fort","Point(-6.0369 106.695)",http://www.wikidata.org/entity/Q104534035,https://www.atlasofmutualheritage.nl/en/Quaal-fort.49c
