namevariant,preflabel,coords,wikidata,atlasofmutualheritage
"fort Wiltwijck","Kingston, fort","Point(41.9309 -74.0185)",http://www.wikidata.org/entity/Q104534259,https://www.atlasofmutualheritage.nl/en/Kingston-fort.8889c
"fort Rondout","Rondout, fort (Kingston)","Point(41.9274 -73.966)",http://www.wikidata.org/entity/Q104534260,https://www.atlasofmutualheritage.nl/en/Rondout-fort-(Kingston).8890c
"fort Kingston Reduyt","Rondout, fort (Kingston)","Point(41.9274 -73.966)",http://www.wikidata.org/entity/Q104534260,https://www.atlasofmutualheritage.nl/en/Rondout-fort-(Kingston).8890c
"fort (New York) Greenbush","Greenbush, fort (New York)","Point(42.6346 -73.7494)",http://www.wikidata.org/entity/Q104534261,https://www.atlasofmutualheritage.nl/en/Greenbush-fort-(New-York).8891c
"fort Hurley","Hurley, fort","Point(41.9257 -74.0616)",http://www.wikidata.org/entity/Q104534262,https://www.atlasofmutualheritage.nl/en/Hurley-fort.8892c
"fort Nieuw Dorp","Hurley, fort","Point(41.9257 -74.0616)",http://www.wikidata.org/entity/Q104534262,https://www.atlasofmutualheritage.nl/en/Hurley-fort.8892c
"fort Jericoacoara","Jericoacoara, fort",,,
"fort Camocim","Camocim, fort",,,
"belegeringswerken tegen het fort van Reis Magos","Reis Magos, belegeringswerken tegen het fort van","Point(-5.7585 -35.1984)",http://www.wikidata.org/entity/Q104534263,https://www.atlasofmutualheritage.nl/en/Reis-Magos-siege-works-against-fort-of.8920c
"fort Goiana","Goiana, fort","Point(-7.5628 -35.0107)",http://www.wikidata.org/entity/Q104534264,https://www.atlasofmutualheritage.nl/en/Goiana-fort.8926c
"belegeringswerken bij Vila Velha","Vila Velha, belegeringswerken bij","Point(-7.80551 -34.8506)",http://www.wikidata.org/entity/Q104534265,https://www.atlasofmutualheritage.nl/en/Vila-Velha-siege-works-at.8931c
"belegeringswerken bij fort Nossa Senhora da Conceicao","Vila Velha, belegeringswerken bij","Point(-7.80551 -34.8506)",http://www.wikidata.org/entity/Q104534265,https://www.atlasofmutualheritage.nl/en/Vila-Velha-siege-works-at.8931c
"fort Montenegro","Montenegro, fort (Olinda)","Point(-8.01584 -34.8463)",http://www.wikidata.org/entity/Q10284250,https://www.atlasofmutualheritage.nl/en/Montenegro-fort-(Olinda).8934c
"Forte do Queijo","Montenegro, fort (Olinda)","Point(-8.01584 -34.8463)",http://www.wikidata.org/entity/Q10284250,https://www.atlasofmutualheritage.nl/en/Montenegro-fort-(Olinda).8934c
"fort Olinda Baluarte do São Francisco","Montenegro, fort (Olinda)","Point(-8.01584 -34.8463)",http://www.wikidata.org/entity/Q10284250,https://www.atlasofmutualheritage.nl/en/Montenegro-fort-(Olinda).8934c
"fort Jodenwacht","Jodenwacht, fort (Olinda)","Point(-8.02238 -34.853)",http://www.wikidata.org/entity/Q104534266,https://www.atlasofmutualheritage.nl/en/Jodenwacht-fort-(Olinda).8935c
"fort Olinda Guarita de João Albuquerque","Jodenwacht, fort (Olinda)","Point(-8.02238 -34.853)",http://www.wikidata.org/entity/Q104534266,https://www.atlasofmutualheritage.nl/en/Jodenwacht-fort-(Olinda).8935c
"fort Olinda Santa Cruz do Mar","Jodenwacht, fort (Olinda)","Point(-8.02238 -34.853)",http://www.wikidata.org/entity/Q104534266,https://www.atlasofmutualheritage.nl/en/Jodenwacht-fort-(Olinda).8935c
"fort Kijk in den Pot","Kijk in den Pot, fort (Banda)","Point(-4.53421 129.885)",http://www.wikidata.org/entity/Q104534267,https://www.atlasofmutualheritage.nl/en/Kijk-den-Pot-fort-(Banda).8937c
"fort Kota","Kijk in den Pot, fort (Banda)","Point(-4.53421 129.885)",http://www.wikidata.org/entity/Q104534267,https://www.atlasofmutualheritage.nl/en/Kijk-den-Pot-fort-(Banda).8937c
"fort Keyk in den Pot","Kijk in den Pot, fort (Banda)","Point(-4.53421 129.885)",http://www.wikidata.org/entity/Q104534267,https://www.atlasofmutualheritage.nl/en/Kijk-den-Pot-fort-(Banda).8937c
"fort Kijck in de pot","Kijk in den Pot, fort (Banda)","Point(-4.53421 129.885)",http://www.wikidata.org/entity/Q104534267,https://www.atlasofmutualheritage.nl/en/Kijk-den-Pot-fort-(Banda).8937c
"fort Kijk in de poth","Kijk in den Pot, fort (Banda)","Point(-4.53421 129.885)",http://www.wikidata.org/entity/Q104534267,https://www.atlasofmutualheritage.nl/en/Kijk-den-Pot-fort-(Banda).8937c
"fort Lakui","Lakui, fort","Point(-4.55366 129.879)",http://www.wikidata.org/entity/Q104534268,https://www.atlasofmutualheritage.nl/en/Lakui-fort.8938c
"Waterpass Lackoij","Lakui, fort","Point(-4.55366 129.879)",http://www.wikidata.org/entity/Q104534268,https://www.atlasofmutualheritage.nl/en/Lakui-fort.8938c
"Redoute Lackoey","Lakui, fort","Point(-4.55366 129.879)",http://www.wikidata.org/entity/Q104534268,https://www.atlasofmutualheritage.nl/en/Lakui-fort.8938c
"Halfmaan op Pointe Lacquooy","Lakui, fort","Point(-4.55366 129.879)",http://www.wikidata.org/entity/Q104534268,https://www.atlasofmutualheritage.nl/en/Lakui-fort.8938c
"fort Landkasteel","Landkasteel, fort (Recife)","Point(-8.0577 -34.8712)",http://www.wikidata.org/entity/Q104534269,https://www.atlasofmutualheritage.nl/en/Landkasteel-fort-(Recife).8939c
"fort Recife Land Castle","Landkasteel, fort (Recife)","Point(-8.0577 -34.8712)",http://www.wikidata.org/entity/Q104534269,https://www.atlasofmutualheritage.nl/en/Landkasteel-fort-(Recife).8939c
